Date,Tournament,Rd,Rival,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt,W_or_L
2024,US Open,R128,Albot,23,40,0.6,13.1%,22.7%,15,30,0.5,9.8%,19.6%,6.5%,3.3%,0.3,8.5%,25.6%,W
2024,Paris Olympics,F,Alcaraz,25,18,1.4,13.1%,9.4%,24,16,1.5,12.9%,8.6%,11.8%,0.5%,1.5,21.5%,14.7%,W
2024,Paris Olympics,SF,Musetti,18,17,1.1,15.0%,14.2%,15,16,0.9,13.2%,14.0%,4.4%,8.8%,0.5,9.2%,18.3%,W
2024,Paris Olympics,QF,Tsitsipas,28,21,1.3,18.8%,14.1%,22,20,1.1,16.2%,14.7%,8.1%,8.1%,0.9,14.1%,16.1%,W
2024,Paris Olympics,R16,Koepfer,23,11,2.1,20.0%,9.6%,18,11,1.6,17.8%,10.9%,8.9%,8.9%,1.0,20.0%,20.0%,W
2024,Paris Olympics,R32,Nadal,23,16,1.4,21.7%,15.1%,18,15,1.2,18.6%,15.5%,7.2%,11.3%,0.5,11.3%,20.8%,W
2024,Paris Olympics,R64,Ebden,23,7,3.3,31.5%,9.6%,19,7,2.7,29.7%,10.9%,15.6%,14.1%,0.5,9.6%,20.5%,W
2024,Wimbledon,F,Alcaraz,26,25,1.0,13.3%,12.8%,18,21,0.9,10.4%,12.1%,8.1%,2.3%,1.8,21.4%,12.2%,L
2024,Wimbledon,SF,Musetti,34,31,1.1,15.9%,14.5%,28,27,1.0,13.9%,13.4%,7.0%,6.5%,1.5,15.9%,10.3%,W
2024,Wimbledon,R16,Rune,21,22,1.0,13.1%,13.8%,16,20,0.8,11.0%,13.7%,8.2%,2.7%,0.5,9.4%,18.1%,W
2024,Wimbledon,R32,Popyrin,53,18,2.9,21.5%,7.3%,34,15,2.3,16.9%,7.5%,11.4%,5.0%,1.7,21.1%,12.6%,W
2024,Wimbledon,R64,Fearnley,34,27,1.3,13.9%,11.0%,20,24,0.8,9.5%,11.4%,7.1%,2.4%,0.9,17.1%,20.0%,W
2024,Wimbledon,R128,Kopriva,32,16,2.0,20.8%,10.4%,22,14,1.6,16.5%,10.5%,9.8%,6.0%,0.8,16.2%,19.5%,W
2024,Roland Garros,R16,Cerundolo,51,43,1.2,15.5%,13.1%,45,41,1.1,14.2%,13.0%,9.5%,4.7%,1.7,21.6%,12.5%,W
2024,Roland Garros,R32,Musetti,45,51,0.9,15.8%,18.0%,40,49,0.8,14.6%,17.9%,8.8%,5.8%,1.3,19.0%,14.4%,W
2024,Roland Garros,R64,Carballes Baena,42,14,3.0,27.8%,9.3%,37,13,2.8,26.4%,9.3%,15.7%,10.7%,1.1,12.6%,11.9%,W
2024,Roland Garros,R128,Herbert,29,15,1.9,15.8%,8.2%,25,13,1.9,15.2%,7.9%,10.4%,4.9%,1.3,19.6%,15.2%,W
2024,Geneva,QF,Griekspoor,7,7,1.0,6.5%,6.5%,3,6,0.5,3.2%,6.4%,0.0%,3.2%,0.8,22.2%,27.8%,W
2024,Rome Masters,R32,Tabilo,15,16,0.9,16.0%,17.0%,7,11,0.6,9.1%,14.3%,2.6%,6.5%,2.8,23.4%,8.5%,L
2024,Rome Masters,R64,Moutet,21,13,1.6,20.8%,12.9%,20,13,1.5,20.0%,13.0%,12.0%,8.0%,0.7,12.9%,19.8%,W
2024,Monte Carlo Masters,SF,Ruud,30,27,1.1,19.1%,17.2%,27,25,1.1,18.8%,17.4%,8.3%,10.4%,1.2,14.6%,12.1%,L
2024,Monte Carlo Masters,QF,De Minaur,13,24,0.5,9.6%,17.8%,11,23,0.5,8.8%,18.4%,3.2%,5.6%,0.6,13.3%,23.0%,W
2024,Monte Carlo Masters,R16,Musetti,19,24,0.8,14.7%,18.6%,16,22,0.7,13.1%,18.0%,7.4%,4.9%,0.6,14.0%,21.7%,W
2024,Monte Carlo Masters,R32,Safiullin,16,6,2.7,16.8%,6.3%,15,6,2.5,16.5%,6.6%,8.8%,7.7%,0.7,14.7%,22.1%,W
2024,Indian Wells Masters,R32,Nardi,18,25,0.7,9.7%,13.5%,14,24,0.6,8.4%,14.4%,6.0%,2.4%,1.1,19.5%,17.8%,L
2024,Indian Wells Masters,R64,Vukic,25,21,1.2,14.2%,11.9%,13,16,0.8,8.8%,10.8%,6.8%,2.0%,1.0,15.3%,15.3%,W
2024,Australian Open,SF,Sinner,33,54,0.6,14.6%,23.9%,26,50,0.5,12.7%,24.4%,6.8%,2.4%,1.2,15.0%,12.8%,L
2024,Australian Open,QF,Fritz,50,29,1.7,18.6%,10.8%,29,26,1.1,12.8%,11.5%,4.9%,7.1%,1.4,23.0%,16.7%,W
2024,Australian Open,R16,Mannarino,28,10,2.8,22.0%,7.9%,11,5,2.2,10.6%,4.8%,3.8%,6.7%,0.4,8.7%,22.0%,W
2024,Australian Open,R64,Popyrin,29,22,1.3,12.6%,9.6%,18,22,0.8,9.1%,11.1%,6.1%,3.0%,1.4,22.6%,16.1%,W
2024,Australian Open,R128,Prizmic,35,48,0.7,14.3%,19.7%,24,47,0.5,11.0%,21.5%,8.7%,1.8%,0.7,11.5%,16.0%,W
2024,United Cup,QF,De Minaur,19,34,0.6,16.2%,29.1%,14,33,0.4,13.7%,32.4%,5.9%,2.9%,1.6,16.2%,10.3%,L
2024,United Cup,RR,Zhang,19,8,2.4,18.4%,7.8%,12,7,1.7,13.5%,7.9%,11.2%,2.2%,0.8,16.5%,21.4%,W
2024,United Cup,RR,Lehecka,22,21,1.0,14.2%,13.5%,19,19,1.0,13.1%,13.1%,7.6%,5.5%,0.8,16.8%,20.0%,W
2023,Davis Cup,RR,Sinner,23,24,1.0,12.8%,13.3%,17,23,0.7,10.8%,14.6%,7.6%,1.3%,0.9,20.0%,22.8%,L
2023,Tour Finals,F,Sinner,18,11,1.6,15.0%,9.2%,4,11,0.4,4.1%,11.3%,3.1%,1.0%,0.5,13.3%,27.5%,W
2023,Tour Finals,SF,Alcaraz,15,9,1.7,13.5%,8.1%,12,8,1.5,12.5%,8.3%,5.2%,4.2%,0.9,20.7%,23.4%,W
2023,Tour Finals,RR,Rune,36,24,1.5,16.6%,11.1%,26,20,1.3,14.6%,11.2%,9.0%,5.6%,1.7,24.0%,14.3%,W
2023,Tour Finals,RR,Sinner,43,31,1.4,19.7%,14.2%,23,30,0.8,12.8%,16.7%,9.4%,3.3%,1.2,18.3%,15.6%,L
2023,Tour Finals,RR,Hurkacz,22,19,1.2,12.9%,11.2%,17,18,0.9,12.7%,13.4%,8.2%,4.5%,0.9,21.2%,22.9%,W
2023,Paris Masters,F,Dimitrov,26,18,1.4,22.4%,15.5%,20,17,1.2,19.6%,16.7%,2.0%,5.9%,0.6,19.0%,30.2%,W
2023,Paris Masters,SF,Rublev,63,35,1.8,27.4%,15.2%,46,30,1.5,24.2%,15.8%,6.3%,3.7%,1.9,27.8%,14.3%,W
2023,Paris Masters,QF,Rune,30,21,1.4,15.9%,11.1%,20,17,1.2,12.2%,10.4%,8.5%,3.7%,1.8,20.1%,11.1%,W
2023,Paris Masters,R16,Griekspoor,29,24,1.2,14.3%,11.8%,19,17,1.1,11.2%,10.0%,10.0%,1.2%,1.5,21.2%,13.8%,W
2023,Paris Masters,R32,Etcheverry,23,17,1.4,22.5%,16.7%,16,14,1.1,18.4%,16.1%,11.5%,5.7%,1.1,13.7%,12.7%,W
2023,US Open,F,Medvedev,38,35,1.1,17.7%,16.3%,34,29,1.2,17.6%,15.0%,10.9%,6.2%,0.8,14.9%,18.1%,W
2023,US Open,SF,Shelton,28,25,1.1,13.9%,12.4%,23,22,1.0,12.6%,12.0%,8.7%,3.8%,0.7,14.9%,21.4%,W
2023,US Open,QF,Fritz,25,26,1.0,13.7%,14.2%,18,21,0.9,11.2%,13.0%,6.8%,3.7%,0.6,18.0%,27.9%,W
2023,US Open,R16,Gojo,26,12,2.2,13.7%,6.3%,14,9,1.6,9.2%,5.9%,5.2%,2.6%,1.0,21.1%,21.1%,W
2023,US Open,R32,Djere,34,36,0.9,12.6%,13.3%,22,32,0.7,9.0%,13.1%,4.5%,3.7%,0.7,15.6%,21.5%,W
2023,US Open,R64,Zapata Miralles,35,22,1.6,23.0%,14.5%,30,22,1.4,21.0%,15.4%,11.9%,7.7%,0.7,9.9%,14.5%,W
2023,US Open,R128,Muller,32,23,1.4,25.0%,18.0%,26,18,1.4,24.1%,16.7%,20.4%,2.8%,0.6,8.6%,14.1%,W
2023,Cincinnati Masters,F,Alcaraz,25,55,0.5,9.6%,21.1%,21,50,0.4,8.9%,21.2%,3.8%,3.4%,0.8,16.5%,21.1%,W
2023,Cincinnati Masters,SF,Zverev,19,22,0.9,11.9%,13.8%,15,19,0.8,10.7%,13.6%,8.6%,2.1%,1.0,16.3%,16.9%,W
2023,Cincinnati Masters,QF,Fritz,22,17,1.3,26.2%,20.2%,20,13,1.5,27.4%,17.8%,8.2%,4.1%,0.5,15.5%,28.6%,W
2023,Cincinnati Masters,R16,Monfils,20,12,1.7,19.8%,11.9%,19,9,2.1,22.4%,10.6%,5.9%,1.2%,0.7,24.8%,35.6%,W
2023,Wimbledon,F,Alcaraz,32,40,0.8,9.6%,12.0%,30,37,0.8,9.6%,11.8%,7.0%,2.6%,1.5,19.8%,13.5%,L
2023,Wimbledon,SF,Sinner,33,21,1.6,16.3%,10.4%,22,21,1.0,12.2%,11.7%,8.9%,2.2%,1.3,21.8%,17.3%,W
2023,Wimbledon,QF,Rublev,42,23,1.8,19.4%,10.6%,37,22,1.7,18.2%,10.8%,11.8%,5.4%,1.3,14.7%,11.5%,W
2023,Wimbledon,R16,Hurkacz,44,16,2.8,16.2%,5.9%,26,13,2.0,12.2%,6.1%,7.0%,5.2%,1.7,23.6%,13.7%,W
2023,Wimbledon,R32,Wawrinka,38,26,1.5,22.8%,15.6%,27,25,1.1,18.1%,16.8%,13.4%,4.7%,0.4,7.2%,17.4%,W
2023,Wimbledon,R64,Thompson,40,13,3.1,20.1%,6.5%,32,13,2.5,19.0%,7.7%,12.5%,6.0%,2.2,21.6%,10.1%,W
2023,Wimbledon,R128,Cachin,45,19,2.4,23.3%,9.8%,32,16,2.0,19.5%,9.8%,11.0%,6.7%,1.0,14.5%,15.0%,W
2023,Roland Garros,F,Ruud,53,30,1.8,25.6%,14.5%,42,29,1.4,22.1%,15.3%,17.9%,4.2%,1.0,15.5%,15.5%,W
2023,Roland Garros,SF,Alcaraz,35,39,0.9,15.6%,17.4%,27,36,0.8,13.0%,17.3%,5.3%,7.7%,0.7,15.6%,22.3%,W
2023,Roland Garros,QF,Khachanov,59,48,1.2,22.3%,18.2%,48,42,1.1,20.3%,17.8%,12.3%,7.2%,0.8,14.4%,18.6%,W
2023,Roland Garros,R16,Varillas,38,19,2.0,26.8%,13.4%,31,16,1.9,24.0%,12.4%,14.7%,7.0%,0.7,11.3%,16.9%,W
2023,Roland Garros,R32,Davidovich Fokina,24,45,0.5,11.2%,21.0%,24,39,0.6,11.8%,19.2%,6.4%,4.9%,0.6,16.8%,29.0%,W
2023,Roland Garros,R64,Fucsovics,33,40,0.8,16.7%,20.2%,31,36,0.9,16.8%,19.5%,9.7%,5.9%,0.8,14.6%,19.2%,W
2023,Rome Masters,QF,Rune,22,36,0.6,14.2%,23.2%,18,33,0.5,12.6%,23.1%,11.2%,1.4%,2.1,17.4%,8.4%,L
2023,Rome Masters,R64,Etcheverry,26,22,1.2,20.2%,17.1%,25,22,1.1,20.5%,18.0%,10.7%,9.8%,0.7,10.1%,14.0%,W
2023,Banja Luka,QF,Lajovic,26,32,0.8,13.9%,17.1%,23,30,0.8,12.8%,16.8%,8.9%,3.4%,0.9,20.9%,23.0%,L
2023,Monte Carlo Masters,R16,Musetti,26,51,0.5,13.3%,26.2%,25,45,0.6,13.7%,24.6%,7.7%,5.5%,0.8,13.8%,17.4%,L
2023,Dubai,SF,Medvedev,26,22,1.2,21.3%,18.0%,21,21,1.0,19.6%,19.6%,15.9%,3.7%,2.5,16.4%,6.6%,L
2023,Dubai,QF,Hurkacz,19,15,1.3,17.0%,13.4%,15,13,1.2,15.3%,13.3%,14.3%,1.0%,1.0,20.5%,19.6%,W
2023,Dubai,R16,Griekspoor,28,11,2.5,22.8%,8.9%,20,8,2.5,20.2%,8.1%,12.1%,8.1%,0.7,17.1%,24.4%,W
2023,Dubai,R32,Machac,43,36,1.2,22.2%,18.6%,31,28,1.1,18.9%,17.1%,15.2%,3.0%,1.3,18.0%,13.9%,W
2023,Australian Open,F,Tsitsipas,33,26,1.3,16.0%,12.6%,26,23,1.1,14.6%,12.9%,9.6%,5.1%,0.9,18.4%,20.9%,W
2023,Australian Open,SF,Paul,30,33,0.9,17.9%,19.6%,18,28,0.6,12.2%,19.0%,8.2%,4.1%,0.5,10.1%,21.4%,W
2023,Australian Open,QF,Rublev,31,16,1.9,17.2%,8.9%,16,11,1.5,10.6%,7.3%,6.6%,2.6%,0.8,16.7%,20.6%,W
2023,Australian Open,R16,De Minaur,27,27,1.0,18.0%,18.0%,23,24,1.0,16.7%,17.4%,10.1%,5.8%,0.4,7.3%,17.3%,W
2023,Australian Open,R32,Dimitrov,25,25,1.0,11.0%,11.0%,14,23,0.6,7.1%,11.7%,6.1%,1.0%,0.9,22.8%,24.6%,W
2023,Australian Open,R64,Couacaud,63,40,1.6,25.6%,16.3%,53,34,1.6,23.9%,15.3%,18.9%,5.0%,0.8,13.0%,17.1%,W
2023,Australian Open,R128,Carballes Baena,38,26,1.5,25.7%,17.6%,29,25,1.2,21.8%,18.8%,15.8%,6.0%,0.7,8.8%,12.8%,W
2023,Adelaide 1,F,Korda,30,32,0.9,13.2%,14.0%,23,28,0.8,11.6%,14.1%,7.6%,4.0%,0.7,18.4%,25.4%,W
2023,Adelaide 1,SF,Medvedev,20,11,1.8,18.3%,10.1%,15,8,1.9,16.1%,8.6%,8.6%,5.4%,0.7,10.1%,13.8%,W
2023,Adelaide 1,R16,Halys,42,14,3.0,26.6%,8.9%,32,10,3.2,24.4%,7.6%,18.3%,3.8%,1.3,24.1%,18.4%,W
2022,Tour Finals,F,Ruud,28,16,1.8,25.0%,14.3%,20,16,1.3,20.6%,16.5%,13.4%,7.2%,0.9,12.5%,13.4%,W
2022,Tour Finals,SF,Fritz,16,24,0.7,10.2%,15.3%,10,23,0.4,7.5%,17.2%,3.7%,3.7%,1.0,19.1%,19.7%,W
2022,Tour Finals,RR,Medvedev,47,31,1.5,18.3%,12.1%,38,28,1.4,16.7%,12.3%,11.5%,5.3%,1.5,16.0%,10.5%,W
2022,Tour Finals,RR,Rublev,20,4,5.0,20.2%,4.0%,8,4,2.0,10.5%,5.3%,6.6%,3.9%,1.6,18.2%,11.1%,W
2022,Tour Finals,RR,Tsitsipas,25,10,2.5,20.2%,8.1%,22,8,2.8,20.0%,7.3%,15.5%,2.7%,1.6,22.6%,13.7%,W
2022,Paris Masters,F,Rune,33,25,1.3,17.5%,13.2%,26,23,1.1,15.7%,13.9%,12.0%,3.6%,1.3,23.3%,18.5%,L
2022,Paris Masters,SF,Tsitsipas,35,11,3.2,21.5%,6.7%,24,11,2.2,16.9%,7.7%,9.9%,7.0%,1.9,17.2%,9.2%,W
2022,Paris Masters,R32,Cressy,21,3,7.0,15.9%,2.3%,17,1,17.0,16.8%,1.0%,9.9%,5.0%,2.1,31.1%,15.2%,W
2022,Astana,F,Tsitsipas,15,4,3.8,15.8%,4.2%,14,4,3.5,15.4%,4.4%,8.8%,6.6%,0.9,13.7%,14.7%,W
2022,Astana,SF,Medvedev,26,23,1.1,19.7%,17.4%,23,23,1.0,19.5%,19.5%,11.9%,7.6%,2.4,19.7%,8.3%,W
2022,Astana,R16,Van De Zandschulp,23,11,2.1,25.0%,12.0%,18,11,1.6,22.0%,13.4%,13.4%,8.5%,0.7,15.2%,20.7%,W
2022,Tel Aviv,F,Cilic,20,15,1.3,17.4%,13.0%,13,11,1.2,15.1%,12.8%,5.8%,8.1%,0.9,17.4%,20.0%,W
2022,Tel Aviv,SF,Safiullin,15,11,1.4,11.9%,8.7%,8,9,0.9,7.7%,8.7%,3.8%,2.9%,0.6,15.9%,25.4%,W
2022,Laver Cup,RR,Auger Aliassime,13,16,0.8,10.1%,12.4%,11,12,0.9,10.1%,11.0%,8.3%,1.8%,2.1,30.2%,14.7%,L
2022,Wimbledon,F,Kyrgios,46,17,2.7,18.9%,7.0%,31,10,3.1,16.8%,5.4%,8.6%,7.0%,1.9,25.4%,13.5%,W
2022,Wimbledon,SF,Norrie,38,28,1.4,18.8%,13.9%,25,27,0.9,14.0%,15.2%,9.6%,3.9%,0.9,16.3%,17.8%,W
2022,Wimbledon,QF,Sinner,41,33,1.2,15.6%,12.6%,33,28,1.2,14.1%,12.0%,9.4%,3.8%,1.0,16.4%,15.6%,W
2022,Wimbledon,R16,Van Rijthoven,29,19,1.5,13.1%,8.6%,22,17,1.3,11.8%,9.1%,7.5%,4.3%,0.8,18.6%,24.0%,W
2022,Wimbledon,R32,Kecmanovic,36,19,1.9,22.4%,11.8%,30,15,2.0,20.7%,10.3%,13.8%,6.2%,0.5,8.1%,16.8%,W
2022,Wimbledon,R64,Kokkinakis,29,14,2.1,18.1%,8.8%,28,11,2.5,20.0%,7.9%,12.1%,7.9%,1.3,19.4%,14.4%,W
2022,Wimbledon,R128,Kwon,31,29,1.1,15.0%,14.1%,16,27,0.6,9.0%,15.3%,7.3%,0.6%,1.2,15.0%,12.6%,W
2022,Roland Garros,QF,Nadal,55,63,0.9,19.8%,22.7%,50,59,0.8,19.1%,22.5%,10.7%,5.7%,1.3,23.4%,17.6%,L
2022,Rome Masters,F,Tsitsipas,27,12,2.3,24.1%,10.7%,21,11,1.9,20.4%,10.7%,13.6%,4.9%,0.6,9.8%,17.9%,W
2022,Rome Masters,SF,Ruud,21,24,0.9,18.3%,20.9%,20,23,0.9,18.0%,20.7%,11.7%,4.5%,0.7,18.3%,27.8%,W
2022,Rome Masters,QF,Auger Aliassime,23,17,1.4,15.3%,11.3%,19,17,1.1,14.4%,12.9%,6.8%,6.1%,1.3,21.3%,16.0%,W
2022,Rome Masters,R16,Wawrinka,26,12,2.2,24.8%,11.4%,24,12,2.0,24.5%,12.2%,8.2%,5.1%,0.8,21.0%,26.7%,W
2022,Rome Masters,R32,Karatsev,20,17,1.2,17.5%,14.9%,19,15,1.3,18.4%,14.6%,8.7%,4.9%,0.6,21.9%,36.0%,W
2022,Madrid Masters,SF,Alcaraz,23,24,1.0,8.7%,9.1%,15,22,0.7,6.0%,8.9%,2.4%,3.2%,1.0,19.2%,18.9%,L
2022,Madrid Masters,QF,Hurkacz,16,12,1.3,14.5%,10.9%,10,11,0.9,10.2%,11.2%,9.2%,1.0%,0.8,17.3%,22.7%,W
2022,Madrid Masters,R32,Monfils,18,18,1.0,16.2%,16.2%,16,15,1.1,15.4%,14.4%,7.7%,2.9%,0.6,20.7%,34.2%,W
2022,Belgrade,F,Rublev,26,34,0.8,13.8%,18.1%,19,29,0.7,11.4%,17.5%,6.6%,3.6%,1.6,23.4%,14.4%,L
2022,Monte Carlo Masters,R32,Davidovich Fokina,27,52,0.5,12.4%,23.9%,26,47,0.6,12.6%,22.7%,9.7%,2.9%,1.0,17.0%,17.4%,L
2021,Tour Finals,SF,Zverev,27,29,0.9,14.4%,15.4%,12,28,0.4,7.6%,17.7%,5.7%,1.9%,1.4,18.1%,12.8%,L
2021,Tour Finals,RR,Ruud,21,15,1.4,17.2%,12.3%,11,15,0.7,11.1%,15.2%,10.1%,1.0%,0.9,21.3%,23.0%,W
2021,Tour Finals,RR,Rublev,21,7,3.0,21.0%,7.0%,7,7,1.0,8.9%,8.9%,5.1%,3.8%,0.6,17.0%,27.0%,W
2021,Paris Masters,F,Medvedev,38,31,1.2,21.8%,17.8%,32,29,1.1,20.5%,18.6%,14.7%,5.8%,1.2,17.8%,14.4%,W
2021,Paris Masters,SF,Hurkacz,21,26,0.8,11.6%,14.4%,16,23,0.7,10.1%,14.5%,6.9%,3.1%,0.8,16.6%,21.0%,W
2021,Paris Masters,QF,Fritz,21,19,1.1,19.8%,17.9%,13,16,0.8,15.1%,18.6%,10.5%,4.7%,0.5,14.2%,28.3%,W
2021,US Open,F,Medvedev,27,38,0.7,14.8%,20.9%,21,35,0.6,14.2%,23.6%,8.1%,4.7%,1.2,20.9%,17.0%,L
2021,US Open,SF,Zverev,41,49,0.8,15.0%,17.9%,29,47,0.6,12.3%,19.9%,8.9%,3.0%,1.0,17.9%,18.2%,W
2021,US Open,QF,Berrettini,44,28,1.6,16.7%,10.6%,32,24,1.3,14.0%,10.5%,9.6%,3.9%,1.0,15.9%,16.3%,W
2021,US Open,R16,Brooksby,45,41,1.1,21.3%,19.4%,36,40,0.9,18.4%,20.4%,14.3%,3.1%,1.0,12.8%,13.3%,W
2021,US Open,R32,Nishikori,45,52,0.9,16.4%,19.0%,30,45,0.7,12.3%,18.5%,5.8%,5.8%,0.7,13.9%,20.8%,W
2021,US Open,R64,Griekspoor,33,20,1.7,22.3%,13.5%,20,15,1.3,16.3%,12.2%,9.8%,4.1%,0.7,13.5%,18.9%,W
2021,US Open,R128,Rune,55,30,1.8,28.9%,15.8%,38,23,1.7,23.6%,14.3%,14.3%,5.6%,0.9,12.6%,13.7%,W
2021,Tokyo Olympics,BR,Carreno Busta,31,26,1.2,15.1%,12.7%,28,23,1.2,14.6%,12.0%,10.4%,4.2%,1.2,19.0%,15.6%,L
2021,Tokyo Olympics,SF,Zverev,16,14,1.1,10.6%,9.3%,12,13,0.9,8.7%,9.4%,5.1%,3.6%,2.9,27.2%,9.3%,L
2021,Tokyo Olympics,QF,Nishikori,16,15,1.1,17.8%,16.7%,13,11,1.2,16.0%,13.6%,8.6%,7.4%,0.3,6.7%,24.4%,W
2021,Tokyo Olympics,R16,Davidovich Fokina,23,9,2.6,20.7%,8.1%,14,8,1.8,14.1%,8.1%,9.1%,5.1%,0.5,10.8%,20.7%,W
2021,Tokyo Olympics,R32,Struff,23,12,1.9,21.3%,11.1%,9,11,0.8,10.2%,12.5%,6.8%,3.4%,1.5,11.1%,7.4%,W
2021,Tokyo Olympics,R64,Dellien,19,9,2.1,20.7%,9.8%,12,9,1.3,14.3%,10.7%,7.1%,7.1%,0.4,7.6%,21.7%,W
2021,Wimbledon,F,Berrettini,31,21,1.5,11.2%,7.6%,26,17,1.5,10.5%,6.9%,5.2%,4.4%,1.2,20.7%,17.4%,W
2021,Wimbledon,SF,Shapovalov,33,15,2.2,15.0%,6.8%,25,10,2.5,12.8%,5.1%,6.1%,4.6%,1.1,18.2%,16.4%,W
2021,Wimbledon,QF,Fucsovics,23,30,0.8,11.9%,15.5%,19,27,0.7,10.7%,15.3%,5.6%,5.1%,0.8,12.4%,16.0%,W
2021,Wimbledon,R16,Garin,28,23,1.2,18.4%,15.1%,19,22,0.9,14.1%,16.3%,8.1%,5.9%,0.5,9.2%,17.1%,W
2021,Wimbledon,R32,Kudla,34,28,1.2,18.1%,14.9%,26,22,1.2,15.8%,13.3%,10.9%,4.2%,0.9,16.0%,18.6%,W
2021,Wimbledon,R64,Anderson,25,6,4.2,16.8%,4.0%,16,5,3.2,12.9%,4.0%,8.1%,4.0%,0.9,16.1%,17.4%,W
2021,Wimbledon,R128,Draper,47,24,2.0,25.1%,12.8%,22,23,1.0,14.6%,15.2%,8.6%,5.3%,1.0,13.9%,14.4%,W
2021,Roland Garros,F,Tsitsipas,51,38,1.3,16.4%,12.2%,51,38,1.3,17.9%,13.3%,,,1.2,15.1%,12.9%,W
2021,Roland Garros,SF,Nadal,44,34,1.3,16.5%,12.8%,44,34,1.3,18.1%,14.0%,,,0.9,15.8%,17.7%,W
2021,Roland Garros,QF,Berrettini,34,18,1.9,12.3%,6.5%,34,18,1.9,13.5%,7.2%,,,0.9,15.9%,17.4%,W
